,nom,id,france,latitude,longitude,weather,nice
0,Mont Saint Michel,211285890,True,48.6359541,-1.51146,"         time  weather_code  apparent_temperature_max  \
0  2025-10-22            63                      13.7   
1  2025-10-23            63                       9.6   
2  2025-10-24            63                       8.2   
3  2025-10-25            61                       9.3   
4  2025-10-26            55                       7.7   
5  2025-10-27            80                      11.0   
6  2025-10-28             3                      12.6   

   apparent_temperature_min  precipitation_sum                poi  
0                       9.6                4.8  Mont Saint Michel  
1                       1.9               11.1  Mont Saint Michel  
2                       2.4                5.5  Mont Saint Michel  
3                       3.7                7.1  Mont Saint Michel  
4                       4.6                4.9  Mont Saint Michel  
5                       5.1                4.5  Mont Saint Michel  
6                       8.2                0.6  Mont Saint Michel  ",55.42857142857143
1,St Malo,905534,True,48.649518,-2.0260409,"         time  weather_code  apparent_temperature_max  \
0  2025-10-22            65                      13.8   
1  2025-10-23            63                       9.4   
2  2025-10-24            53                       8.4   
3  2025-10-25            53                       8.6   
4  2025-10-26            55                       7.0   
5  2025-10-27            80                      11.6   
6  2025-10-28             3                      13.1   

   apparent_temperature_min  precipitation_sum      poi  
0                       9.8               14.5  St Malo  
1                       2.0               11.4  St Malo  
2                       3.2                1.5  St Malo  
3                       4.5                2.6  St Malo  
4                       4.7                6.2  St Malo  
5                       5.3                3.3  St Malo  
6                       7.6                0.0  St Malo  ",53.142857142857146
2,Bayeux,145776,True,49.2764624,-0.7024738,"         time  weather_code  apparent_temperature_max  \
0  2025-10-22            80                      14.5   
1  2025-10-23            80                      13.2   
2  2025-10-24             3                       7.1   
3  2025-10-25            80                       9.7   
4  2025-10-26            80                       6.5   
5  2025-10-27            61                      11.9   
6  2025-10-28             3                      12.5   

   apparent_temperature_min  precipitation_sum     poi  
0                      10.2                9.7  Bayeux  
1                       3.9                7.2  Bayeux  
2                       4.3                0.0  Bayeux  
3                       3.9                4.3  Bayeux  
4                       3.2                0.9  Bayeux  
5                       4.9                4.2  Bayeux  
6                       9.6                0.9  Bayeux  ",55.285714285714285
3,Le Havre,104492,True,49.4938975,0.1079732,"         time  weather_code  apparent_temperature_max  \
0  2025-10-22            63                      14.2   
1  2025-10-23            80                      14.2   
2  2025-10-24            80                       7.1   
3  2025-10-25            95                       9.5   
4  2025-10-26            80                       7.6   
5  2025-10-27            61                      11.2   
6  2025-10-28            80                      12.6   

   apparent_temperature_min  precipitation_sum       poi  
0                      11.3               14.1  Le Havre  
1                       3.6               17.5  Le Havre  
2                       5.4                0.0  Le Havre  
3                       6.0               15.3  Le Havre  
4                       5.8                8.4  Le Havre  
5                       7.5                7.8  Le Havre  
6                      10.1                6.0  Le Havre  ",77.0
4,Rouen,75628,True,49.4404591,1.0939658,"         time  weather_code  apparent_temperature_max  \
0  2025-10-22            81                      14.9   
1  2025-10-23            80                      15.0   
2  2025-10-24            80                       8.5   
3  2025-10-25            80                       9.3   
4  2025-10-26            61                       7.3   
5  2025-10-27            80                      11.6   
6  2025-10-28            80                      12.3   

   apparent_temperature_min  precipitation_sum    poi  
0                      10.5                7.2  Rouen  
1                       4.7               16.6  Rouen  
2                       4.4                6.9  Rouen  
3                       5.0                6.6  Rouen  
4                       4.0                3.0  Rouen  
5                       4.5                4.5  Rouen  
6                      10.6                1.8  Rouen  ",77.42857142857143
5,Paris,71525,True,48.8534951,2.3483915,"         time  weather_code  apparent_temperature_max  \
0  2025-10-22            80                      16.4   
1  2025-10-23            80                      16.6   
2  2025-10-24            80                       9.0   
3  2025-10-25            61                      10.2   
4  2025-10-26            80                       7.6   
5  2025-10-27            61                      11.8   
6  2025-10-28             3                      13.3   

   apparent_temperature_min  precipitation_sum    poi  
0                      12.6                2.0  Paris  
1                       6.2                4.4  Paris  
2                       4.8                0.1  Paris  
3                       5.4                1.0  Paris  
4                       3.4                4.5  Paris  
5                       4.2                4.8  Paris  
6                       9.9                1.5  Paris  ",63.57142857142857
6,Amiens,114347,True,49.8941708,2.2956951,"         time  weather_code  apparent_temperature_max  \
0  2025-10-22            61                      15.8   
1  2025-10-23            63                      14.4   
2  2025-10-24            61                       7.2   
3  2025-10-25            51                       8.8   
4  2025-10-26            53                       6.1   
5  2025-10-27            53                       9.4   
6  2025-10-28            51                      11.5   

   apparent_temperature_min  precipitation_sum     poi  
0                       9.0                3.2  Amiens  
1                       3.0               19.0  Amiens  
2                       2.8                8.3  Amiens  
3                       3.8                1.5  Amiens  
4                       1.5                2.6  Amiens  
5                       3.3                7.5  Amiens  
6                       5.4                0.6  Amiens  ",56.142857142857146
7,Lille,58404,True,50.6365654,3.0635282,"         time  weather_code  apparent_temperature_max  \
0  2025-10-22            61                      14.7   
1  2025-10-23            63                      14.1   
2  2025-10-24            61                       7.0   
3  2025-10-25            61                       7.6   
4  2025-10-26            71                       5.4   
5  2025-10-27            63                       9.4   
6  2025-10-28             3                      11.2   

   apparent_temperature_min  precipitation_sum    poi  
0                      10.1                2.5  Lille  
1                       3.7               20.6  Lille  
2                       2.9                7.9  Lille  
3                       3.0                3.6  Lille  
4                       0.5                5.7  Lille  
5                       2.5               11.1  Lille  
6                       4.7                0.0  Lille  ",54.714285714285715
8,Strasbourg,71033,True,48.584614,7.7507127,"         time  weather_code  apparent_temperature_max  \
0  2025-10-22            80                      16.6   
1  2025-10-23            95                      15.6   
2  2025-10-24            80                       8.1   
3  2025-10-25            80                       9.0   
4  2025-10-26            80                       6.4   
5  2025-10-27            80                       7.1   
6  2025-10-28            80                       9.5   

   apparent_temperature_min  precipitation_sum         poi  
0                      12.8                7.6  Strasbourg  
1                       7.9               14.2  Strasbourg  
2                       3.6                1.2  Strasbourg  
3                       3.6                2.7  Strasbourg  
4                       3.7                6.3  Strasbourg  
5                       1.8                5.4  Strasbourg  
6                       7.1                9.0  Strasbourg  ",82.14285714285714
9,Chateau du Haut Koenigsbourg,1299451538,True,48.2494107,7.3443202,"         time  weather_code  apparent_temperature_max  \
0  2025-10-22            80                      12.7   
1  2025-10-23            96                      11.4   
2  2025-10-24            81                       3.7   
3  2025-10-25            80                       2.9   
4  2025-10-26            61                       2.2   
5  2025-10-27            61                       2.8   
6  2025-10-28            80                       5.5   

   apparent_temperature_min  precipitation_sum                           poi  
0                       8.6                8.6  Chateau du Haut Koenigsbourg  
1                       1.6               18.4  Chateau du Haut Koenigsbourg  
2                      -2.5                3.6  Chateau du Haut Koenigsbourg  
3                       0.9                2.2  Chateau du Haut Koenigsbourg  
4                      -1.0                6.0  Chateau du Haut Koenigsbourg  
5                      -1.5                8.4  Chateau du Haut Koenigsbourg  
6                       2.9               25.2  Chateau du Haut Koenigsbourg  ",77.0
