,nom,id,france,latitude,longitude,weather,nice,T_min,T_max,precipitation_sum,exp_precipitation,nice2
0,Mont Saint Michel,211285890,True,48.6359541,-1.51146,"         time  weather_code  apparent_temperature_max  \
0  2025-10-30             3                       9.6   
1  2025-10-31            53                      13.0   
2  2025-11-01            61                      12.0   
3  2025-11-02            51                       8.7   
4  2025-11-03             3                      12.9   
5  2025-11-04            80                      11.6   
6  2025-11-05            80                      15.6   

   apparent_temperature_min  precipitation_sum                poi  
0                       2.4                0.0  Mont Saint Michel  
1                       7.0                0.9  Mont Saint Michel  
2                       7.9                6.0  Mont Saint Michel  
3                       5.6                1.3  Mont Saint Michel  
4                       5.6                0.0  Mont Saint Michel  
5                       4.6                0.4  Mont Saint Michel  
6                      11.2                2.8  Mont Saint Michel  ",47.285714285714285,6.328571428571428,11.914285714285713,11.400000000000002,0.31981902181630384,2.9172063632815712
1,St Malo,905534,True,48.649518,-2.0260409,"         time  weather_code  apparent_temperature_max  \
0  2025-10-30             3                       9.7   
1  2025-10-31            51                      13.5   
2  2025-11-01            53                      12.2   
3  2025-11-02            51                       9.1   
4  2025-11-03            51                      13.2   
5  2025-11-04            61                      12.5   
6  2025-11-05            61                      15.4   

   apparent_temperature_min  precipitation_sum      poi  
0                       4.5                0.0  St Malo  
1                       8.4                0.1  St Malo  
2                       8.3                2.4  St Malo  
3                       6.8                0.6  St Malo  
4                       5.1                0.2  St Malo  
5                       5.0                0.9  St Malo  
6                      10.6                3.3  St Malo  ",47.285714285714285,6.957142857142857,12.22857142857143,7.5,0.4723665527410147,4.531344859508448
2,Bayeux,145776,True,49.2764624,-0.7024738,"         time  weather_code  apparent_temperature_max  \
0  2025-10-30             3                       9.4   
1  2025-10-31             3                      15.2   
2  2025-11-01            95                      12.9   
3  2025-11-02             3                       8.1   
4  2025-11-03             3                      12.0   
5  2025-11-04            61                      10.8   
6  2025-11-05            61                      14.9   

   apparent_temperature_min  precipitation_sum     poi  
0                       4.9                0.0  Bayeux  
1                       9.0                0.0  Bayeux  
2                       8.3                7.0  Bayeux  
3                       4.8                0.9  Bayeux  
4                       4.8                0.0  Bayeux  
5                       6.2                0.9  Bayeux  
6                      11.1                1.6  Bayeux  ",32.714285714285715,7.014285714285715,11.900000000000002,10.4,0.35345468195878016,3.342671420810179
3,Le Havre,104492,True,49.4938975,0.1079732,"         time  weather_code  apparent_temperature_max  \
0  2025-10-30             3                      10.4   
1  2025-10-31            80                      15.6   
2  2025-11-01            80                      13.3   
3  2025-11-02            95                       9.9   
4  2025-11-03             3                      12.3   
5  2025-11-04            80                      11.4   
6  2025-11-05            80                      15.5   

   apparent_temperature_min  precipitation_sum       poi  
0                       8.0                0.0  Le Havre  
1                       9.5                1.1  Le Havre  
2                      10.2                7.9  Le Havre  
3                       7.3                5.7  Le Havre  
4                       6.8                0.0  Le Havre  
5                       7.3                2.6  Le Havre  
6                      10.7                4.1  Le Havre  ",60.142857142857146,8.542857142857143,12.62857142857143,21.4,0.11765484302177924,1.2454605525591202
4,Rouen,75628,True,49.4404591,1.0939658,"         time  weather_code  apparent_temperature_max  \
0  2025-10-30             3                      11.1   
1  2025-10-31            80                      15.5   
2  2025-11-01            95                      14.4   
3  2025-11-02            80                       9.7   
4  2025-11-03             3                      11.7   
5  2025-11-04            61                      12.5   
6  2025-11-05            80                      16.4   

   apparent_temperature_min  precipitation_sum    poi  
0                       6.5                0.0  Rouen  
1                       8.7                0.3  Rouen  
2                      10.0                8.9  Rouen  
3                       6.4                3.0  Rouen  
4                       4.8                0.0  Rouen  
5                       5.0                0.5  Rouen  
6                      12.6                7.6  Rouen  ",57.42857142857143,7.714285714285714,13.042857142857144,20.3,0.13133552114849303,1.3630750873482886
5,Paris,7444,True,48.8588897,2.320041,"         time  weather_code  apparent_temperature_max  \
0  2025-10-30             3                      11.6   
1  2025-10-31            61                      15.2   
2  2025-11-01            80                      15.0   
3  2025-11-02            80                      11.3   
4  2025-11-03             3                      11.1   
5  2025-11-04            81                      14.0   
6  2025-11-05            81                      17.9   

   apparent_temperature_min  precipitation_sum    poi  
0                       7.1                0.0  Paris  
1                       7.2                0.5  Paris  
2                      11.1                3.9  Paris  
3                       6.7                1.2  Paris  
4                       4.7                0.0  Paris  
5                       5.4                0.9  Paris  
6                      11.7                4.6  Paris  ",55.57142857142857,7.700000000000001,13.728571428571428,11.100000000000001,0.32955896107518906,3.53098886866274
6,Amiens,114347,True,49.8941708,2.2956951,"         time  weather_code  apparent_temperature_max  \
0  2025-10-30             3                      10.8   
1  2025-10-31            51                      10.9   
2  2025-11-01            61                      13.9   
3  2025-11-02            51                       8.4   
4  2025-11-03             3                      12.3   
5  2025-11-04             3                      11.5   
6  2025-11-05             3                      14.4   

   apparent_temperature_min  precipitation_sum     poi  
0                       4.8                0.0  Amiens  
1                       5.8                0.3  Amiens  
2                       8.2                4.6  Amiens  
3                       5.0                0.9  Amiens  
4                       4.6                0.0  Amiens  
5                       5.7                0.0  Amiens  
6                       6.2                0.0  Amiens  ",25.0,5.757142857142858,11.742857142857144,5.8,0.559898366565402,4.899110707447268
7,Lille,58404,True,50.6365654,3.0635282,"         time  weather_code  apparent_temperature_max  \
0  2025-10-30             3                      11.0   
1  2025-10-31            51                      10.9   
2  2025-11-01            63                      13.6   
3  2025-11-02            55                       8.3   
4  2025-11-03            51                      12.0   
5  2025-11-04             3                      10.8   
6  2025-11-05             3                      13.4   

   apparent_temperature_min  precipitation_sum    poi  
0                       4.5                0.0  Lille  
1                       4.6                0.5  Lille  
2                       7.5                8.3  Lille  
3                       5.0                1.5  Lille  
4                       4.5                0.3  Lille  
5                       6.1                0.0  Lille  
6                       5.7                0.0  Lille  ",32.714285714285715,5.4142857142857155,11.428571428571429,10.600000000000001,0.3464558103300574,2.9176528598509837
8,Strasbourg,71033,True,48.584614,7.7507127,"         time  weather_code  apparent_temperature_max  \
0  2025-10-30            61                      13.9   
1  2025-10-31            45                      14.9   
2  2025-11-01            61                      15.0   
3  2025-11-02            61                      13.8   
4  2025-11-03             2                      10.6   
5  2025-11-04             1                      12.3   
6  2025-11-05            61                      13.3   

   apparent_temperature_min  precipitation_sum         poi  
0                       7.8                3.2  Strasbourg  
1                       3.9                0.0  Strasbourg  
2                      10.7                5.0  Strasbourg  
3                       7.9               21.5  Strasbourg  
4                       5.4                0.4  Strasbourg  
5                       2.6                0.0  Strasbourg  
6                       4.9                1.5  Strasbourg  ",41.714285714285715,6.171428571428571,13.399999999999997,31.599999999999998,0.0424257410805114,0.4151661805735758
9,Château du Haut-Kœnigsbourg ,1299451538,True,48.2494107,7.3443202,"         time  weather_code  apparent_temperature_max  \
0  2025-10-30            80                       9.3   
1  2025-10-31             3                      13.8   
2  2025-11-01            61                      13.4   
3  2025-11-02            80                      10.1   
4  2025-11-03             2                       6.8   
5  2025-11-04             1                      12.0   
6  2025-11-05            61                      11.4   

   apparent_temperature_min  precipitation_sum                           poi  
0                       2.8                3.9  Château du Haut-Kœnigsbourg   
1                       2.2                0.0  Château du Haut-Kœnigsbourg   
2                       7.0                5.5  Château du Haut-Kœnigsbourg   
3                       3.8               20.4  Château du Haut-Kœnigsbourg   
4                       0.4                0.0  Château du Haut-Kœnigsbourg   
5                       0.3                0.0  Château du Haut-Kœnigsbourg   
6                       2.9                2.4  Château du Haut-Kœnigsbourg   ",41.142857142857146,2.7714285714285714,10.971428571428573,32.199999999999996,0.03995505826065392,0.2745483289053505
